time	V(1)	V(5)	V(6)
1.828208166082441e-001	-3.264244e+001	4.258905e+000	-4.258905e+000
1.834326943178024e-001	6.366406e+000	-8.335701e-001	8.335701e-001
1.839898206855279e-001	4.164509e+001	-5.379149e+000	5.379149e+000
1.849663831855279e-001	9.817253e+001	-1.254606e+001	1.254606e+001
1.859429456855279e-001	1.415434e+002	-1.833346e+001	1.833346e+001
1.865547751650014e-001	1.593205e+002	-2.092084e+001	2.092084e+001
1.868762633311328e-001	1.653218e+002	-2.179434e+001	2.179434e+001
1.871354160333029e-001	1.683968e+002	-2.220847e+001	2.220847e+001
1.874125091129046e-001	1.699075e+002	-2.239738e+001	2.239738e+001
1.877174712917368e-001	1.694290e+002	-2.230762e+001	2.230762e+001
1.881039595133521e-001	1.656125e+002	-2.170988e+001	2.170988e+001
1.887301681602674e-001	1.520439e+002	-1.967800e+001	1.967800e+001
1.897067306602674e-001	1.144881e+002	-1.462764e+001	1.462764e+001
1.906832931602674e-001	6.158921e+001	-7.866691e+000	7.866691e+000
1.916598556602674e-001	4.365066e-001	-5.118555e-002	5.118555e-002
1.926364181602674e-001	-6.077470e+001	7.771491e+000	-7.771491e+000
1.936129806602674e-001	-1.138412e+002	1.455299e+001	-1.455299e+001
1.945895431602674e-001	-1.516514e+002	1.977849e+001	-1.977849e+001
1.950071633922727e-001	-1.618209e+002	2.130893e+001	-2.130893e+001
1.952982663944192e-001	-1.665531e+002	2.196262e+001	-2.196262e+001
1.955778831837864e-001	-1.692123e+002	2.230927e+001	-2.230927e+001
1.958855275032460e-001	-1.699671e+002	2.240774e+001	-2.240774e+001
1.961683199512378e-001	-1.686462e+002	2.219966e+001	-2.219966e+001
1.966282392313732e-001	-1.624236e+002	2.122273e+001	-2.122273e+001
1.973702513701937e-001	-1.422541e+002	1.840567e+001	-1.840567e+001
1.982005010108791e-001	-1.066825e+002	1.382327e+001	-1.382327e+001
1.988708739302275e-001	-7.019836e+001	9.145286e+000	-9.145286e+000
1.994853214380953e-001	-3.277840e+001	4.276560e+000	-4.276560e+000
2.000977025946735e-001	6.260196e+000	-8.196865e-001	8.196865e-001
2.006553414226724e-001	4.157388e+001	-5.369828e+000	5.369828e+000
2.016319039226724e-001	9.811256e+001	-1.253841e+001	1.253841e+001
2.026084664226724e-001	1.415027e+002	-1.832775e+001	1.832775e+001
2.032209987048207e-001	1.593106e+002	-2.091933e+001	2.091933e+001
2.035426012456676e-001	1.653169e+002	-2.179370e+001	2.179370e+001
2.038016736006618e-001	1.683932e+002	-2.220795e+001	2.220795e+001
2.040790846132533e-001	1.699073e+002	-2.239726e+001	2.239726e+001
2.043841040423846e-001	1.694292e+002	-2.230763e+001	2.230763e+001
2.047705710255033e-001	1.656133e+002	-2.171001e+001	2.171001e+001
2.053967459121331e-001	1.520464e+002	-1.967836e+001	1.967836e+001
2.063733084121331e-001	1.144923e+002	-1.462818e+001	1.462818e+001
2.073498709121331e-001	6.159452e+001	-7.867375e+000	7.867375e+000
2.083264334121331e-001	4.422050e-001	-5.191939e-002	5.191939e-002
2.093029959121331e-001	-6.076937e+001	7.770804e+000	-7.770804e+000
2.102795584121331e-001	-1.138370e+002	1.455244e+001	-1.455244e+001
2.112561209121331e-001	-1.516488e+002	1.977811e+001	-1.977811e+001
2.116737967276037e-001	-1.618202e+002	2.130883e+001	-2.130883e+001
2.119649081443233e-001	-1.665528e+002	2.196257e+001	-2.196257e+001
2.122445198528936e-001	-1.692121e+002	2.230925e+001	-2.230925e+001
2.125521409096610e-001	-1.699672e+002	2.240775e+001	-2.240775e+001
2.128348998997212e-001	-1.686469e+002	2.219977e+001	-2.219977e+001
2.132947651270133e-001	-1.624263e+002	2.122313e+001	-2.122313e+001
2.140366927579845e-001	-1.422620e+002	1.840775e+001	-1.840775e+001
2.148646759191971e-001	-1.068068e+002	1.384027e+001	-1.384027e+001
2.155349732806315e-001	-7.034818e+001	9.164750e+000	-9.164750e+000
2.161498116199931e-001	-3.291525e+001	4.294331e+000	-4.294331e+000
2.167626993799952e-001	6.153247e+000	-8.057069e-001	8.057069e-001
2.173208515236114e-001	4.150201e+001	-5.360419e+000	5.360419e+000
2.182974140236114e-001	9.805202e+001	-1.253068e+001	1.253068e+001
2.192739765236114e-001	1.414617e+002	-1.832198e+001	1.832198e+001
2.198872180630534e-001	1.593006e+002	-2.091780e+001	2.091780e+001
2.202089360679099e-001	1.653119e+002	-2.179305e+001	2.179305e+001
2.204679273161465e-001	1.683896e+002	-2.220743e+001	2.220743e+001
2.207456592565427e-001	1.699072e+002	-2.239716e+001	2.239716e+001
2.210507364741202e-001	1.694294e+002	-2.230765e+001	2.230765e+001
2.214371820190142e-001	1.656141e+002	-2.171014e+001	2.171014e+001
2.220633228277321e-001	1.520490e+002	-1.967872e+001	1.967872e+001
2.230398853277321e-001	1.144965e+002	-1.462873e+001	1.462873e+001
2.240164478277321e-001	6.159988e+001	-7.868066e+000	7.868066e+000
2.249930103277321e-001	4.479570e-001	-5.266013e-002	5.266013e-002
2.259695728277321e-001	-6.076400e+001	7.770112e+000	-7.770112e+000
2.269461353277321e-001	-1.138327e+002	1.455189e+001	-1.455189e+001
2.279226978277321e-001	-1.516462e+002	1.977773e+001	-1.977773e+001
2.283404297492537e-001	-1.618196e+002	2.130872e+001	-2.130872e+001
2.286315496597862e-001	-1.665525e+002	2.196252e+001	-2.196252e+001
2.289111562398388e-001	-1.692119e+002	2.230922e+001	-2.230922e+001
2.292187538150807e-001	-1.699672e+002	2.240777e+001	-2.240777e+001
2.295014790324722e-001	-1.686476e+002	2.219988e+001	-2.219988e+001
